,Scheme Code,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,Date
2,119551,INF209KA12Z1,INF209KA13Z9,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,107.8466,2025-07-04
3,119552,INF209K01YM2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,117.8464,2025-07-04
4,119553,INF209K01YO8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,105.01,2025-07-04
5,108272,INF209K01LX6,INF209KA11Z3,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,151.4886,2025-07-04
6,110282,INF209K01LU2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,113.6424,2025-07-04
7,108274,INF209K01LN7,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,102.9576,2025-07-04
8,110490,INF209K01LR8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,113.4213,2025-07-04
9,106157,INF209K01LS6,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,104.0835,2025-07-04
10,108273,INF209K01LV0,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,368.8137,2025-07-04
11,103176,INF209K01LT4,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,553.6388,2025-07-04
12,119550,INF209K01YN0,-,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,382.7926,2025-07-04
14,128952,INF846K01NF8,-,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272,2017-06-14
15,120437,-,INF846K01CU0,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1039.0782,2025-07-04
16,120438,INF846K01CR6,-,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2732.6721,2025-07-04
17,120439,INF846K01CT2,INF846K01CS4,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1036.1247,2025-07-04
18,120436,INF846K01CV8,INF846K01CW6,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1038.9049,2025-07-04
19,128953,INF846K01NG6,-,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075,2015-05-18
20,117447,-,INF846K01CC8,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1038.8548,2025-07-04
21,117446,INF846K01CB0,-,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2649.955,2025-07-04
22,117449,INF846K01CF1,INF846K01CG9,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1036.0442,2025-07-04
23,117448,INF846K01CD6,INF846K01CE4,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1038.7034,2025-07-04
25,152164,INF0QA701649,INF0QA701631,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,11.0151,2025-07-04
26,152163,INF0QA701615,INF0QA701623,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,11.5862,2025-07-04
27,152165,INF0QA701557,-,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,11.482,2025-07-04
28,152166,INF0QA701565,INF0QA701573,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,11.482,2025-07-04
29,152162,INF0QA701607,-,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,11.5862,2025-07-04
30,152167,INF0QA701599,INF0QA701581,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,10.9434,2025-07-04
32,121936,INF194K019M8,-,BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW,12.3842,2025-07-04
33,127471,-,INF194KA1JD3,BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW,10.4768,2025-07-04
34,121934,-,INF194K010N5,BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW,10.4669,2025-07-04
35,121279,INF194K015G8,-,BANDHAN Banking & PSU Debt Fund - Direct Growth,25.4691,2025-07-04
36,121281,INF194K016G6,INF194K017G4,BANDHAN Banking & PSU Debt Fund - Direct IDCW,13.3975,2025-07-04
37,121935,-,INF194K011N3,BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW,10.455,2025-07-04
